Title,page_no,recitation_no,recitation,image_pages,ayet_sayisi,etiketler,sureler
Sayfa 57,57,1,public://quran_audio/alafasy-Sayfa057.mp3,public://quran_images/sayfa-057.png,9,,
Sayfa 58,58,1,public://quran_audio/alafasy-Sayfa058.mp3,public://quran_images/sayfa-058.png,9,,
Sayfa 59,59,1,public://quran_audio/alafasy-Sayfa059.mp3,public://quran_images/sayfa-059.png,7,,
Sayfa 60,60,1,public://quran_audio/alafasy-Sayfa060.mp3,public://quran_images/sayfa-060.png,6,,
Sayfa 61,61,1,public://quran_audio/alafasy-Sayfa061.mp3,public://quran_images/sayfa-061.png,8,,
Sayfa 62,62,1,public://quran_audio/alafasy-Sayfa062.mp3,public://quran_images/sayfa-062.png,9,,
Sayfa 63,63,1,public://quran_audio/alafasy-Sayfa063.mp3,public://quran_images/sayfa-063.png,8,,
Sayfa 64,64,1,public://quran_audio/alafasy-Sayfa064.mp3,public://quran_images/sayfa-064.png,7,,
Sayfa 65,65,1,public://quran_audio/alafasy-Sayfa065.mp3,public://quran_images/sayfa-065.png,6,,
Sayfa 66,66,1,public://quran_audio/alafasy-Sayfa066.mp3,public://quran_images/sayfa-066.png,11,,
Sayfa 67,67,1,public://quran_audio/alafasy-Sayfa067.mp3,public://quran_images/sayfa-067.png,8,,
Sayfa 68,68,1,public://quran_audio/alafasy-Sayfa068.mp3,public://quran_images/sayfa-068.png,8,,
Sayfa 69,69,1,public://quran_audio/alafasy-Sayfa069.mp3,public://quran_images/sayfa-069.png,5,,
Sayfa 70,70,1,public://quran_audio/alafasy-Sayfa070.mp3,public://quran_images/sayfa-070.png,4,,
Sayfa 71,71,1,public://quran_audio/alafasy-Sayfa071.mp3,public://quran_images/sayfa-071.png,8,,
Sayfa 72,72,1,public://quran_audio/alafasy-Sayfa072.mp3,public://quran_images/sayfa-072.png,8,,
Sayfa 73,73,1,public://quran_audio/alafasy-Sayfa073.mp3,public://quran_images/sayfa-073.png,7,,
Sayfa 74,74,1,public://quran_audio/alafasy-Sayfa074.mp3,public://quran_images/sayfa-074.png,6,,
Sayfa 75,75,1,public://quran_audio/alafasy-Sayfa075.mp3,public://quran_images/sayfa-075.png,8,,
Sayfa 76,76,1,public://quran_audio/alafasy-Sayfa076.mp3,public://quran_images/sayfa-076.png,6,,
Sayfa 77,77,1,public://quran_audio/alafasy-Sayfa077.mp3,public://quran_images/sayfa-077.png,6,,
Sayfa 78,78,1,public://quran_audio/alafasy-Sayfa078.mp3,public://quran_images/sayfa-078.png,5,,
Sayfa 79,79,1,public://quran_audio/alafasy-Sayfa079.mp3,public://quran_images/sayfa-079.png,3,,
Sayfa 80,80,1,public://quran_audio/alafasy-Sayfa080.mp3,public://quran_images/sayfa-080.png,5,,
